"vmid","vmtype","createtime","releasetime"
"vm_51897","ecs.c1.large","2019-04-01","2019-04-01"
"vm_57974","ecs.c1.large","2019-04-01","2019-04-01"
"vm_69340","ecs.c1.large","2019-04-01","2019-04-01"
"vm_69557","ecs.c1.large","2019-04-01","2019-04-01"
"vm_70114","ecs.c1.large","2019-04-01","2019-04-01"
"vm_70834","ecs.c1.large","2019-04-01","2019-04-01"
"vm_72997","ecs.c1.large","2019-04-01","2019-04-01"
"vm_76258","ecs.c1.large","2019-04-01","2019-04-01"
"vm_82358","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_95384","ecs.c1.xlarge","2019-04-01","2019-04-01"
"vm_121599","ecs.c1.large","2019-04-01","2019-04-01"
"vm_173843","ecs.c1.large","2019-04-01","2019-04-01"
"vm_198682","ecs.c1.large","2019-04-01","2019-04-01"
"vm_198948","ecs.c1.large","2019-04-01","2019-04-01"
"vm_17173","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201164","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_29084","ecs.c1.large","2019-04-01","2019-04-01"
"vm_199524","ecs.c1.xlarge","2019-04-01","\N"
"vm_199767","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_200431","ecs.c1.large","2019-04-01","2019-04-01"
"vm_22536","ecs.c1.xlarge","2019-04-01","2019-04-01"
"vm_58646","ecs.c1.large","2019-04-01","2019-04-01"
"vm_200747","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201170","ecs.c1.large","2019-04-01","2019-04-01"
"vm_200670","ecs.c1.large","2019-04-01","2019-04-01"
"vm_200577","ecs.c1.large","2019-04-01","2019-04-01"
"vm_200635","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201091","ecs.c1.xlarge","2019-04-01","2019-04-02"
"vm_200909","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201193","ecs.c1.large","2019-04-01","2019-04-01"
"vm_200966","ecs.c1.large","2019-04-01","2019-04-01"
"vm_206872","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201346","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201837","ecs.c1.large","2019-04-01","2019-04-01"
"vm_201476","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_202877","ecs.c1.large","2019-04-01","2019-04-01"
"vm_36443","ecs.c1.large","2019-04-01","2019-04-01"
"vm_202252","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_202264","ecs.c1.large","2019-04-01","2019-04-01"
"vm_204086","ecs.c1.large","2019-04-01","2019-04-01"
"vm_202696","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_203169","ecs.c1.large","2019-04-01","2019-04-01"
"vm_203209","ecs.c1.2xlarge","2019-04-01","2019-04-01"
"vm_14809","ecs.c1.large","2019-04-01","2019-04-01"
"vm_203514","ecs.c1.2xlarge","2019-04-01","2019-04-01"
"vm_203677","ecs.c1.large","2019-04-01","2019-04-01"
"vm_48875","ecs.c1.large","2019-04-01","2019-04-01"
"vm_206600","ecs.c1.large","2019-04-01","2019-04-01"
"vm_204046","ecs.c1.large","2019-04-01","2019-04-01"
"vm_204552","ecs.c1.xlarge","2019-04-01","2019-04-01"
"vm_204215","ecs.c1.large","2019-04-01","2019-04-01"
"vm_211035","ecs.c1.large","2019-04-01","2019-04-03"
"vm_204869","ecs.c1.large","2019-04-01","2019-04-02"
"vm_204595","ecs.c1.large","2019-04-01","2019-04-01"
"vm_204612","ecs.c1.large","2019-04-01","2019-04-01"
"vm_207973","ecs.c1.large","2019-04-01","2019-04-01"
"vm_205172","ecs.c1.large","2019-04-01","2019-04-01"
"vm_205753","ecs.c1.large","2019-04-01","2019-04-01"
"vm_205773","ecs.c1.large","2019-04-01","2019-04-01"
"vm_206490","ecs.c1.large","2019-04-01","2019-04-01"
"vm_206255","ecs.c1.large","2019-04-01","2019-04-01"
"vm_206496","ecs.c1.large","2019-04-01","2019-04-01"
"vm_206278","ecs.c1.large","2019-04-01","2019-04-01"
"vm_233167","ecs.c1.large","2019-04-01","2019-04-01"
"vm_207143","ecs.c1.large","2019-04-01","2019-04-01"
"vm_207553","ecs.c1.large","2019-04-01","2019-04-01"
"vm_17215","ecs.c1.large","2019-04-01","2019-04-01"
"vm_208420","ecs.c1.large","2019-04-01","2019-04-01"
"vm_48920","ecs.c1.large","2019-04-01","2019-04-01"
"vm_208218","ecs.c1.large","2019-04-01","2019-04-01"
"vm_211033","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_209911","ecs.c1.large","2019-04-01","2019-04-01"
"vm_208528","ecs.c1.large","2019-04-01","2019-04-01"
"vm_209032","ecs.c1.large","2019-04-01","2019-04-01"
"vm_209510","ecs.c1.large","2019-04-01","2019-04-01"
"vm_209757","ecs.c1.large","2019-04-01","2019-04-01"
"vm_209473","ecs.c1.large","2019-04-01","2019-04-01"
"vm_210937","ecs.c1.large","2019-04-01","2019-04-01"
"vm_28152","ecs.c1.large","2019-04-01","2019-04-01"
"vm_212663","ecs.c1.large","2019-04-01","2019-04-01"
"vm_210033","ecs.c1.large","2019-04-01","2019-04-01"
"vm_210310","ecs.g1.xlarge","2019-04-01","2019-04-01"
"vm_210908","ecs.g1.large","2019-04-01","2019-04-01"
"vm_59043","ecs.c1.large","2019-04-01","2019-04-02"
"vm_210907","ecs.c1.large","2019-04-01","2019-04-01"
"vm_223764","ecs.c1.large","2019-04-01","2019-04-01"
