"vmid","vmtype","createtime","releasetime"
"vm_106614","ecs.g1.large","2019-01-01","2019-01-02"
"vm_178466","ecs.g1.large","2019-01-01","\N"
"vm_71507","ecs.g1.large","2019-01-01","2019-01-02"
"vm_125800","ecs.c1.xlarge","2019-01-01","2019-01-01"
"vm_148106","ecs.g1.large","2019-01-01","2019-01-02"
"vm_5313","ecs.c1.large","2019-01-01","2019-01-01"
"vm_116431","ecs.g1.large","2019-01-01","2019-01-02"
"vm_56289","ecs.g1.large","2019-01-01","2019-01-02"
"vm_97129","ecs.g1.large","2019-01-01","2019-01-01"
"vm_69294","ecs.g1.large","2019-01-01","2019-01-02"
"vm_215424","ecs.g1.large","2019-01-01","2019-01-01"
"vm_217302","ecs.g1.large","2019-01-01","2019-01-02"
"vm_134956","ecs.g1.large","2019-01-01","2019-01-01"
"vm_125217","ecs.g1.large","2019-01-01","2019-01-02"
"vm_5383","ecs.g1.large","2019-01-01","2019-01-02"
"vm_113807","ecs.g1.large","2019-01-01","2019-01-02"
"vm_181162","ecs.g1.2xlarge","2019-01-01","2019-01-01"
"vm_163074","ecs.g1.large","2019-01-01","2019-01-02"
"vm_74863","ecs.g1.large","2019-01-01","2019-01-02"
"vm_211390","ecs.g1.large","2019-01-01","2019-01-02"
"vm_184537","ecs.g1.large","2019-01-01","2019-01-02"
"vm_82469","ecs.g1.large","2019-01-01","2019-01-02"
"vm_179140","ecs.g1.large","2019-01-01","2019-01-02"
"vm_52857","ecs.g1.large","2019-01-01","2019-01-02"
"vm_17349","ecs.g1.large","2019-01-01","2019-01-02"
"vm_215578","ecs.g1.large","2019-01-01","2019-01-02"
"vm_217549","ecs.g1.large","2019-01-01","2019-01-02"
"vm_26275","ecs.g1.large","2019-01-01","2019-01-02"
"vm_49250","ecs.g1.large","2019-01-01","2019-01-02"
"vm_59396","ecs.g1.large","2019-01-01","2019-01-02"
"vm_203269","ecs.g1.large","2019-01-01","2019-01-02"
"vm_102850","ecs.g1.large","2019-01-01","2019-01-02"
"vm_155060","ecs.g1.large","2019-01-01","2019-01-02"
"vm_89803","ecs.g1.large","2019-01-01","2019-01-02"
"vm_162844","ecs.g1.large","2019-01-01","2019-01-02"
"vm_86706","ecs.g1.large","2019-01-01","2019-01-02"
"vm_43302","ecs.g1.large","2019-01-01","2019-01-02"
"vm_87834","ecs.c1.large","2019-01-01","2019-01-01"
"vm_130383","ecs.c1.large","2019-01-01","2019-01-01"
"vm_105063","ecs.g1.large","2019-01-01","2019-01-02"
"vm_205454","ecs.g1.large","2019-01-01","2019-01-02"
"vm_87923","ecs.g1.large","2019-01-01","2019-01-02"
"vm_145563","ecs.g1.large","2019-01-01","2019-01-01"
"vm_160213","ecs.g1.large","2019-01-01","2019-01-02"
"vm_99842","ecs.c1.xlarge","2019-01-01","2019-01-01"
"vm_217277","ecs.g1.large","2019-01-01","2019-01-02"
"vm_28956","ecs.g1.large","2019-01-01","2019-01-02"
"vm_226055","ecs.c1.large","2019-01-01","2019-01-24"
"vm_200978","ecs.g1.large","2019-01-01","2019-01-02"
"vm_128967","ecs.g1.large","2019-01-01","2019-01-02"
"vm_98420","ecs.g1.large","2019-01-01","2019-01-02"
"vm_95669","ecs.g1.large","2019-01-01","2019-01-02"
"vm_25999","ecs.g1.large","2019-01-01","2019-01-02"
"vm_36482","ecs.g1.large","2019-01-01","2019-01-01"
"vm_40489","ecs.g1.large","2019-01-01","2019-01-01"
"vm_232393","ecs.c1.xlarge","2019-01-01","2019-01-01"
"vm_168432","ecs.g1.large","2019-01-01","2019-01-02"
"vm_148926","ecs.g1.large","2019-01-01","2019-01-02"
"vm_29895","ecs.c1.large","2019-01-01","2019-01-01"
"vm_197941","ecs.g1.large","2019-01-01","2019-01-02"
"vm_76048","ecs.g1.large","2019-01-01","2019-01-01"
"vm_104033","ecs.g1.large","2019-01-01","2019-01-02"
"vm_89116","ecs.g1.large","2019-01-01","2019-01-02"
"vm_44426","ecs.g1.large","2019-01-01","2019-01-02"
"vm_175997","ecs.g1.large","2019-01-01","2019-01-02"
"vm_47137","ecs.g1.large","2019-01-01","2019-01-01"
"vm_9209","ecs.g1.large","2019-01-01","2019-01-02"
"vm_211509","ecs.g1.large","2019-01-01","2019-01-02"
"vm_98025","ecs.g1.large","2019-01-01","2019-01-02"
"vm_183812","ecs.g1.large","2019-01-01","2019-01-02"
"vm_11557","ecs.g1.large","2019-01-01","2019-01-02"
"vm_134765","ecs.g1.large","2019-01-01","2019-01-02"
"vm_178634","ecs.c1.large","2019-01-01","\N"
"vm_186222","ecs.g1.large","2019-01-01","2019-01-02"
"vm_85088","ecs.c1.xlarge","2019-01-01","2019-01-23"
"vm_221679","ecs.g1.large","2019-01-01","2019-01-02"
"vm_186724","ecs.g1.large","2019-01-01","2019-01-02"
"vm_195156","ecs.g1.large","2019-01-01","2019-01-01"
"vm_37768","ecs.g1.large","2019-01-01","2019-01-02"
"vm_9277","ecs.g1.large","2019-01-01","2019-01-02"
"vm_122071","ecs.g1.large","2019-01-01","2019-01-02"
"vm_135904","ecs.g1.large","2019-01-01","2019-01-02"
"vm_96264","ecs.g1.xlarge","2019-01-01","2019-01-01"
"vm_193435","ecs.g1.large","2019-01-01","2019-01-02"
"vm_98300","ecs.g1.large","2019-01-01","2019-01-02"
"vm_122342","ecs.g1.large","2019-01-01","2019-01-02"
"vm_28531","ecs.g1.large","2019-01-01","2019-01-02"
"vm_152919","ecs.g1.large","2019-01-01","2019-01-02"
"vm_197231","ecs.g1.large","2019-01-01","2019-01-02"
"vm_164548","ecs.g1.large","2019-01-01","\N"
"vm_16326","ecs.g1.large","2019-01-01","2019-01-02"
"vm_138314","ecs.g1.large","2019-01-01","2019-01-02"
"vm_140061","ecs.g1.large","2019-01-01","2019-01-02"
"vm_122982","ecs.g1.large","2019-01-01","2019-01-02"
"vm_203445","ecs.g1.large","2019-01-01","2019-01-02"
"vm_152642","ecs.g1.large","2019-01-01","2019-01-02"
"vm_28059","ecs.g1.large","2019-01-01","2019-01-01"
"vm_32498","ecs.g1.large","2019-01-01","2019-01-02"
"vm_130388","ecs.g1.large","2019-01-01","2019-01-02"
"vm_193013","ecs.g1.large","2019-01-01","2019-01-01"
"vm_169594","ecs.g1.large","2019-01-01","2019-01-02"
"vm_182238","ecs.g1.large","2019-01-01","2019-01-02"
"vm_197029","ecs.g1.large","2019-01-01","2019-01-02"
"vm_148280","ecs.g1.large","2019-01-01","2019-01-02"
"vm_161562","ecs.g1.large","2019-01-01","2019-01-02"
"vm_49453","ecs.c1.large","2019-01-01","2019-01-01"
"vm_137974","ecs.g1.large","2019-01-01","2019-01-02"
"vm_19338","ecs.g1.large","2019-01-01","2019-01-02"
"vm_118163","ecs.c1.2xlarge","2019-01-01","\N"
"vm_192614","ecs.g1.large","2019-01-01","2019-01-02"
"vm_108772","ecs.c1.large","2019-01-01","2019-01-01"
"vm_9616","ecs.g1.large","2019-01-01","2019-01-02"
"vm_128943","ecs.g1.large","2019-01-01","2019-01-01"
"vm_125231","ecs.g1.large","2019-01-01","2019-01-02"
"vm_6955","ecs.g1.large","2019-01-01","2019-01-02"
"vm_82493","ecs.g1.large","2019-01-01","2019-01-01"
"vm_34986","ecs.g1.large","2019-01-01","2019-01-02"
"vm_18386","ecs.g1.large","2019-01-01","2019-01-02"
"vm_174026","ecs.g1.large","2019-01-01","2019-01-02"
"vm_128446","ecs.c1.large","2019-01-01","2019-01-01"
"vm_171732","ecs.g1.large","2019-01-01","2019-01-01"
"vm_108921","ecs.g1.large","2019-01-01","2019-01-02"
"vm_100636","ecs.g1.large","2019-01-01","2019-01-02"
"vm_120064","ecs.g1.large","2019-01-01","2019-01-02"
"vm_65585","ecs.g1.large","2019-01-01","2019-01-02"
"vm_87170","ecs.g1.large","2019-01-01","2019-01-02"
"vm_216865","ecs.g1.large","2019-01-01","2019-01-02"
"vm_103016","ecs.c1.2xlarge","2019-01-01","\N"
"vm_197654","ecs.g1.large","2019-01-01","2019-01-02"
"vm_31562","ecs.g1.large","2019-01-01","2019-01-02"
"vm_90119","ecs.c1.xlarge","2019-01-01","2019-01-01"
"vm_49434","ecs.g1.large","2019-01-01","2019-01-02"
"vm_144264","ecs.c1.large","2019-01-01","2019-01-01"
"vm_70258","ecs.g1.xlarge","2019-01-01","2019-01-01"
"vm_27262","ecs.g1.large","2019-01-01","2019-01-02"
"vm_21618","ecs.c1.large","2019-01-01","2019-01-01"
"vm_129348","ecs.g1.large","2019-01-01","2019-01-02"
"vm_22124","ecs.g1.large","2019-01-01","2019-01-02"
"vm_198920","ecs.g1.large","2019-01-01","2019-01-01"
"vm_146844","ecs.g1.large","2019-01-02","2019-01-03"
"vm_67430","ecs.c1.xlarge","2019-01-02","2019-01-02"
"vm_43352","ecs.g1.large","2019-01-02","2019-01-03"
"vm_77529","ecs.g1.large","2019-01-02","2019-01-03"
"vm_27605","ecs.g1.large","2019-01-02","2019-01-03"
"vm_76837","ecs.c1.large","2019-01-02","2019-01-02"
"vm_21106","ecs.c1.large","2019-01-02","2019-01-02"
"vm_70212","ecs.g1.large","2019-01-02","2019-01-03"
"vm_164604","ecs.g1.xlarge","2019-01-02","\N"
"vm_107451","ecs.g1.large","2019-01-02","2019-01-03"
"vm_33853","ecs.c1.large","2019-01-02","2019-01-03"
"vm_165701","ecs.r1.large","2019-01-02","\N"
"vm_190490","ecs.g1.large","2019-01-02","2019-01-03"
"vm_141780","ecs.c1.xlarge","2019-01-02","2019-01-02"
"vm_164586","ecs.g1.xlarge","2019-01-02","\N"
"vm_165739","ecs.c1.large","2019-01-02","\N"
"vm_14469","ecs.c1.xlarge","2019-01-02","\N"
"vm_165303","ecs.g1.xlarge","2019-01-02","\N"
"vm_178406","ecs.g1.large","2019-01-02","\N"
"vm_164507","ecs.g1.large","2019-01-02","\N"
"vm_49771","ecs.c1.large","2019-01-02","2019-01-03"
"vm_81967","ecs.g1.large","2019-01-02","2019-01-03"
"vm_51348","ecs.c1.xlarge","2019-01-02","2019-01-02"
"vm_213283","ecs.g1.large","2019-01-02","2019-01-03"
"vm_150372","ecs.g1.large","2019-01-02","2019-01-03"
"vm_73159","ecs.g1.large","2019-01-02","2019-01-03"
"vm_164589","ecs.g1.xlarge","2019-01-02","\N"
"vm_73833","ecs.g1.large","2019-01-02","2019-01-03"
"vm_80446","ecs.c1.large","2019-01-02","2019-01-03"
"vm_156228","ecs.g1.large","2019-01-02","2019-01-03"
"vm_61336","ecs.g1.large","2019-01-02","2019-01-02"
"vm_25674","ecs.c1.xlarge","2019-01-02","2019-01-03"
"vm_224613","ecs.c1.xlarge","2019-01-02","2019-01-02"
"vm_165637","ecs.r1.xlarge","2019-01-02","\N"
"vm_165772","ecs.g1.large","2019-01-02","\N"
"vm_165679","ecs.c1.large","2019-01-02","\N"
"vm_233550","ecs.g1.large","2019-01-02","2019-01-03"
"vm_125090","ecs.g1.large","2019-01-02","2019-01-03"
